2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 2 (GraphImpl.aggregateMessages - preAgg MapPartitionsRDD[11] at mapPartitions at GraphImpl.scala:207) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 1 tasks
2020-06-22 15:04:04 INFO  Executor:54 - Finished task 0.0 in stage 1.0 (TID 1). 1018 bytes result sent to driver
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 2, localhost, executor driver, partition 0, PROCESS_LOCAL, 7876 bytes)
2020-06-22 15:04:04 INFO  Executor:54 - Running task 0.0 in stage 2.0 (TID 2)
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_2_0 locally
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 1) in 318 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2020-06-22 15:04:04 INFO  DAGScheduler:54 - ShuffleMapStage 1 (mapPartitions at VertexRDD.scala:356) finished in 0.341 s
2020-06-22 15:04:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2020-06-22 15:04:04 INFO  DAGScheduler:54 - running: Set(ShuffleMapStage 2)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - waiting: Set(ShuffleMapStage 5, ShuffleMapStage 6, ShuffleMapStage 3, ResultStage 7, ShuffleMapStage 4)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - failed: Set()
2020-06-22 15:04:04 INFO  Executor:54 - Finished task 0.0 in stage 2.0 (TID 2). 975 bytes result sent to driver
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 2) in 75 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2020-06-22 15:04:04 INFO  DAGScheduler:54 - ShuffleMapStage 2 (mapPartitions at GraphImpl.scala:207) finished in 0.381 s
2020-06-22 15:04:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2020-06-22 15:04:04 INFO  DAGScheduler:54 - running: Set()
2020-06-22 15:04:04 INFO  DAGScheduler:54 - waiting: Set(ShuffleMapStage 5, ShuffleMapStage 6, ShuffleMapStage 3, ResultStage 7, ShuffleMapStage 4)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - failed: Set()
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 5 (ReplicatedVertexView.upgrade(true, true) - shippedVerts true true (broadcast) MapPartitionsRDD[37] at mapPartitions at VertexRDDImpl.scala:247), which has no missing parents
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 6.8 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 3.6 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on master:34649 (size: 3.6 KB, free: 364.6 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 4 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 5 (ReplicatedVertexView.upgrade(true, true) - shippedVerts true true (broadcast) MapPartitionsRDD[37] at mapPartitions at VertexRDDImpl.scala:247) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 5.0 with 1 tasks
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 3 (ReplicatedVertexView.updateVertices - shippedVerts false false (broadcast) MapPartitionsRDD[33] at mapPartitions at VertexRDDImpl.scala:247), which has no missing parents
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 5.0 (TID 3, localhost, executor driver, partition 0, ANY, 7990 bytes)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 7.0 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  Executor:54 - Running task 0.0 in stage 5.0 (TID 3)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 3.7 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on master:34649 (size: 3.7 KB, free: 364.6 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 3 (ReplicatedVertexView.updateVertices - shippedVerts false false (broadcast) MapPartitionsRDD[33] at mapPartitions at VertexRDDImpl.scala:247) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 3.0 with 1 tasks
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 4 (ReplicatedVertexView.upgrade(true, true) - shippedVerts true true (broadcast) MapPartitionsRDD[19] at mapPartitions at VertexRDDImpl.scala:247), which has no missing parents
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_6 stored as values in memory (estimated size 5.5 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_6_piece0 stored as bytes in memory (estimated size 3.1 KB, free 364.2 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_6_piece0 in memory on master:34649 (size: 3.1 KB, free: 364.6 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 6 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 4 (ReplicatedVertexView.upgrade(true, true) - shippedVerts true true (broadcast) MapPartitionsRDD[19] at mapPartitions at VertexRDDImpl.scala:247) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 4.0 with 1 tasks
2020-06-22 15:04:04 INFO  ShuffleBlockFetcherIterator:54 - Getting 1 non-empty blocks out of 1 blocks
2020-06-22 15:04:04 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 4 ms
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block rdd_8_0 stored as values in memory (estimated size 251.7 KB, free 364.0 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added rdd_8_0 in memory on master:34649 (size: 251.7 KB, free: 364.3 MB)
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_8_0 locally
2020-06-22 15:04:04 INFO  ShuffleBlockFetcherIterator:54 - Getting 1 non-empty blocks out of 1 blocks
2020-06-22 15:04:04 INFO  ShuffleBlockFetcherIterator:54 - Started 0 remote fetches in 3 ms
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block rdd_15_0 stored as values in memory (estimated size 251.7 KB, free 363.7 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added rdd_15_0 in memory on master:34649 (size: 251.7 KB, free: 364.1 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block rdd_25_0 stored as values in memory (estimated size 538.4 KB, free 363.2 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added rdd_25_0 in memory on master:34649 (size: 538.4 KB, free: 363.6 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block rdd_29_0 stored as values in memory (estimated size 538.4 KB, free 362.7 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added rdd_29_0 in memory on master:34649 (size: 538.4 KB, free: 363.0 MB)
2020-06-22 15:04:04 INFO  Executor:54 - 1 block locks were not released by TID = 3:
[rdd_8_0]
2020-06-22 15:04:04 INFO  Executor:54 - Finished task 0.0 in stage 5.0 (TID 3). 1319 bytes result sent to driver
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 3.0 (TID 4, localhost, executor driver, partition 0, ANY, 8022 bytes)
2020-06-22 15:04:04 INFO  Executor:54 - Running task 0.0 in stage 3.0 (TID 4)
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Finished task 0.0 in stage 5.0 (TID 3) in 257 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Removed TaskSet 5.0, whose tasks have all completed, from pool 
2020-06-22 15:04:04 INFO  DAGScheduler:54 - ShuffleMapStage 5 (mapPartitions at VertexRDDImpl.scala:247) finished in 0.275 s
2020-06-22 15:04:04 INFO  DAGScheduler:54 - looking for newly runnable stages
2020-06-22 15:04:04 INFO  DAGScheduler:54 - running: Set(ShuffleMapStage 3, ShuffleMapStage 4)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - waiting: Set(ShuffleMapStage 6, ResultStage 7)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - failed: Set()
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_25_0 locally
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_29_0 locally
2020-06-22 15:04:04 INFO  Executor:54 - 2 block locks were not released by TID = 4:
[rdd_29_0, rdd_25_0]
2020-06-22 15:04:04 INFO  Executor:54 - Finished task 0.0 in stage 3.0 (TID 4). 975 bytes result sent to driver
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 4.0 (TID 5, localhost, executor driver, partition 0, ANY, 7990 bytes)
2020-06-22 15:04:04 INFO  Executor:54 - Running task 0.0 in stage 4.0 (TID 5)
